start_date,average_duration
2019-10-05,1698.684175277459
2019-10-01,1207.6135685210313
2019-10-04,1353.7581331503088
2019-10-02,909.4962558186602
2019-10-08,1186.2972002052802
2019-10-14,1227.7326804497643
2019-10-12,1405.455757297173
2019-10-10,1312.0795821462489
2019-10-06,2243.912511197372
2019-10-07,1007.6007185906351
2019-10-13,1662.238678439191
2019-10-03,1125.5710359813384
2019-10-11,914.2169411177645
2019-10-09,1173.9241843724603
2019-10-24,945.1445520581113
2019-10-22,1457.833348469712
2019-10-30,1375.2641291810842
2019-10-21,932.9772901250319
2019-10-28,895.9538200339558
2019-10-25,990.8523929471032
2019-10-26,1830.8325315694528
2019-10-15,930.7823569226141
2019-10-20,2153.284000383914
2019-10-17,899.6984231756509
2019-10-16,1153.0782244296136
2019-10-27,1775.1991084695394
2019-10-18,1205.9448779795687
2019-10-29,1157.7735925475902
2019-10-23,1212.4915840442702
2019-10-19,2716.577868558733
2019-11-01,857.5791849015317
2019-11-18,833.1713919178961
2019-11-21,882.5962483251451
2019-11-09,1256.5541141586361
2019-11-27,935.8124423963134
2019-11-15,772.3604366954538
2019-11-14,857.4336522838057
2019-11-13,1421.1166948538294
2019-11-19,831.9307939914163
2019-11-22,832.2954545454545
2019-11-11,764.5965961361545
2019-11-12,781.8922500720254
2019-11-28,1839.3149206349206
2019-11-23,1821.2162832656743
2019-11-24,1402.2646300337235
2019-11-05,1120.4114650953761
2019-11-17,916.3900769888794
2019-11-08,1209.3436207914945
2019-11-02,1292.8231834566495
2019-10-31,884.4774566473989
2019-11-29,2228.0930686625447
2019-11-26,1217.8047226969086
2019-11-25,901.5126735728455
2019-12-01,1698.5034446210916
2019-11-03,1453.5875984251968
2019-11-30,1402.555266579974
2019-11-04,944.7914520646968
2019-11-10,1775.866179001721
2019-12-02,824.665422171166
2019-11-07,732.5619504396483
2019-11-06,929.475080973775
2019-11-16,1172.318544600939
2019-11-20,1324.207278652906
2019-12-28,1474.3948699421965
2019-12-10,699.1963622865627
2019-12-18,623.742335153297
2019-12-04,730.5643902439025
2019-12-08,1053.0991194968553
2019-12-22,1672.1118138122945
2019-12-29,1509.2772936955407
2019-12-14,1483.4955853033323
2019-12-05,1042.5826126536185
2019-12-23,868.6231046931408
2019-12-11,665.9018922254216
2019-12-16,671.8471812662619
2019-12-25,2028.2805785123967
2019-12-07,1142.7666987025468
2019-12-15,898.1349716446125
2019-12-27,1105.605626726953
2019-12-20,896.4415022499135
2019-12-30,819.9613059250303
2019-12-13,1209.6587842351369
2019-12-19,768.1874890177473
2019-12-26,1455.4576797103948
2019-12-17,838.9752218315754
2019-12-12,757.2314423657211
2019-12-03,1213.8504685059866
2019-12-21,1309.4591015320696
2019-12-06,834.171167428334
2019-12-09,780.6126943005181
2019-12-31,1009.474645957058
2019-12-24,1414.3442194644024
